Bedriftsnavn,Adresse,Postnummer,Poststed,Godkjenningstyper,Organisasjonsnummer,Godkjenningsnummer
ASBJØRN BERG & CO ÅLESUND,Moloveien 18,6004,Ålesund,BILVERKSTED01,955581229,7399
Viken Bil & Mek Verksted,Bukkvollan,7372,GLÅMOS,BILVERKSTED01,982210585,8385
"Møller Bil Bryn  AS, Nyttekjøretøysenter",Nils Hansensvei 3,667,OSLO,"BILVERKSTED01B, KONTROLLORGAN01B",976547551,23501
Fana Karosseri AS,Kokstadveien 31 D,5257,KOKSTAD,SKADEVERKSTED02,980383393,6566
RIIS MONTASJE AS avd. Sandvika Storsenter,Brodtkorbsgate 7,1338,SANDVIKA,BILGLASS,921979436,29643
RS Motor & Marine,Fiskerstrandvegen 125,6030,LANGEVÅG,MOTORSYKKELOGMOPED,990003475,12433
BJERLAND LAKK OG KAROSSERI AS,SETESDALSVEGEN 879,4720,HÆGELAND,SKADEVERKSTED02,977193788,30345
BODAHL-JOHANSEN AS avd FREDRIKSTAD,RÅBEKKSVINGEN 2,1617,FREDRIKSTAD,HJUL,965308032,28539
MAUSEIDVÅG BILVERKSTED AS,Furneset 25,6036,MAUSEIDVÅG,"BILVERKSTED01, BILVERKSTED01B, KONTROLLORGAN01, KONTROLLORGAN01B",916807473,30070
EVJE BILOPPHOGGING OG SERVICE AS,setesdalsveien 1075,4735,EVJE,"BILVERKSTED01, KONTROLLORGAN01",926488139,31834
Skår & Gundersen Karosseri AS,"Fjøsangerveien 70 A,",5068,BERGEN,SKADEVERKSTED02,934372727,6575
Møller Bil Kalbakken,Kakkelovnskroken 2,954,OSLO,"BILVERKSTED01B, KONTROLLORGAN01",917805717,1522
BOBIL TRONDHEIM AS,INDUSTRIVEIEN 39A,7080,HEIMDAL,"BILVERKSTED01B, KONTROLLORGAN01B",917921024,30553
BF AUTO HELLE & PEDERSEN ANS,Industritoppen 12 A,4848,Arendal,"BILVERKSTED01, KONTROLLORGAN01",971075384,5381
Lio Auto AS,Storvegen 229,3880,Dalen,"BILVERKSTED01, KONTROLLORGAN01",913955668,5209
Einars Bilverksted v/Einar Gurholt,Fjelldalsveien 136,3721,SKIEN,BILVERKSTED01,971092181,4836
BUSSEXPERTEN AS,Fosserveien 275,1963,FOSSER,"BILGLASS, PABYGGER",897499282,31261
Jern & Maskin AS,Fabrikkveien 2,8610,MO I RANA,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN01B, KONTROLLORGAN02, TRAKTOR",997385772,21619
Maks Auto Servis AS,Grenseveien 73,663,OSLO,BILVERKSTED01,952203541,1341
Lofoten Servicesenter AS,Valbergsveien 2604,8357,VALBERG,TRAKTOR,928836312,31538
Hof Auto AS,VIKEVEIEN 3,3090,HOF,"BILVERKSTED01, KONTROLLORGAN01",979713827,30268
Jorkjen MC AS.,FROLANDSVEIEN 410,4848,ARENDAL,MOTORSYKKELOGMOPED,999100899,24461
REDNINGSVERKET AS,MISSINGMYRVEIEN 16,1640,RÅDE,"HJULUTRUSTNING, PABYGGER",983545300,32006
Vagnild Bil,Aasen,7288,SOKNEDAL,SKADEVERKSTED01,994904949,17519
"Møller Bil Jessheim AS avd SKODA, AUDI og Nyttekjøretøy",Energiveien 1,2069,JESSHEIM,"BILVERKSTED01B, KONTROLLORGAN01B",964995923,1018
HØYENDAL AS,ASKIMVEIEN 940,1811,ASKIM,"HJUL, LYSUTSTYR",998577233,31408
WILMANN MEK OG SERVICE,SKJØRA,7180,ROAN,HJUL,998810396,29679
Autofiks AS,Forusparken 1,4031,STAVANGER,"BILVERKSTED01, KONTROLLORGAN01",997334078,21859
STIG LOSEN TRANSPORT AS,VASSFJELLVEGEN 4,7228,KVÅL,"BILVERKSTED01, PABYGGER",993351679,31611
Taugbøl Bil og Maskin AS,Gaupevegen 1A,2211,KONGSVINGER,"BILVERKSTED01, KONTROLLORGAN01",922927219,2539
HAUGEN TRANSPORT OG MASKIN AS,Arnatveitvegen 137,5262,ARNATVEIT,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04, TRAKTOR",912171949,30295
Express Bilservice AS,Sjømannsvegen 7,6008,ÅLESUND,"BILVERKSTED01, KONTROLLORGAN01",984589808,14139
TECH'S AS,FINNMARKSVEIEN 50,9600,HAMMERFEST,"BILVERKSTED01B, KONTROLLORGAN01B",989649604,28323
TELLUS VOLDA AS,Furene 31,6105,VOLDA,"BILVERKSTED01B, SKADEVERKSTED01",828463632,32171
Voster Auto Ltd,Tjøstheimsvegen 595,4120,Tau,BILVERKSTED01,970230637,6070
HATLEBERG BIL & MASKIN AS,HYLLESTAD,6957,HYLLESTAD,"BILVERKSTED01, KONTROLLORGAN01",942831595,7017
Kjøretøyspesialisten Bodø AS,Trålveien 35,8013,BODØ,"BILVERKSTED01B, KONTROLLORGAN01B",985134731,9016
Tesla Norway AS avd. Skøyen,Drammensveien 130,277,OSLO,BILVERKSTED01,997433173,26102
Vestfossen Bil Og Karosseri,Bruksgata 21,3320,VESTFOSSEN,"BILVERKSTED01B, SKADEVERKSTED02",977241189,3785
Løvdal Auto AS,Sletterød,4823,NEDENES,"BILVERKSTED01, KONTROLLORGAN01",987191872,5347
Erik Arnesen Helsfyr AS,Østensjøveien 12,661,OSLO,"BILVERKSTED01, KONTROLLORGAN01",976547578,1397
VIKEN BILSKADESENTER AS,Gramveien 62,1830,ASKIM,SKADEVERKSTED02,925503355,31688
MC TEKNIKK AS,Oppløserbygget,4700,VENNESLA,MOTORSYKKELOGMOPED,915552773,29960
RIIS MONTASJE AS,Jakob Askelandsv 2,4314,SANDNES,BILGLASS,921979436,28394
Bilcenteret AS,Ulsberg,7398,RENNEBU,SKADEVERKSTED01,987450215,15178
Bilpleie-spesialisten AS,SVARTBEKKVEGEN 61,2406,ELVERUM,BILGLASS,997045084,29327
Møller Bil Grorud,Jernkroken 11,902,OSLO,"BILVERKSTED01, KONTROLLORGAN01",917805717,1421
Røros kommune verksted,Stamphusveien 27,7374,RØROS,"BILVERKSTED01B, KONTROLLORGAN01B",939898743,8393
BRYN AUTO SALG OG SERVICE AS,NILS HANSENS VEI 15,667,OSLO,BILVERKSTED01,914749859,31840
BIL OG HENGERSERVICE A/S,Follummov. 69,3516,HØNEFOSS,PABYGGER,981288602,3421
DALEBAKKEN MASKIN AS,Tverrveien 21,7130,BREKSTAD,"HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR",918753893,29711
TILHENGERSERVICE DAG RUNE STRAUMSNES,BAKKELYVEIEN 29,9700,LAKSELV,HJUL,863352592,31442
Stamsaas Fritid AS,Vogts vei 40,1710,SARPSBORG,"BILVERKSTED01B, SKADEVERKSTED02",889736992,26728
YUTONG EUROBUS SCANDINAVIA AS,Nattlandsveien 91,5094,BERGEN,"BILVERKSTED03, KONTROLLORGAN04",921679610,31762
MOTORHUSET ANS,"Brendehaugen 8, Saunesmarka",6065,Ulsteinvik,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED",943124337,7550
TILHENGERNOR AS,TRONDHEIMSVEIEN 71,2072,DAL,"HENGERESPALOPSBREMSEANLEGG, HJUL, LYSUTSTYR",993971979,31748
HEGGEN AUTOSERVICE AS,KLEIVANEVEGEN 4,5357,FJELL,"HENGERESPALOPSBREMSEANLEGG, HJUL, MOTORSYKKELOGMOPED",919075945,30562
SØRUM TRANSPORT AS,Tretjerndalsvegen 58,2016,FROGNER,"BILVERKSTED03, KONTROLLORGAN03",841369262,30814
KVITESEID MOTORSERVICE AS,DALANVEGEN 23,3850,KVITESEID,"HENGERESPALOPSBREMSEANLEGG, HJUL",929018362,29493
Fardal Bil AS,Eideveien 1,4370,EGERSUND,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, SKADEVERKSTED02, TRAKTOR",983241042,6201
ISDALSTØ AUTO KNARVIK A/S,Kvassnesvegen 31,5914,ISDALSTØ,"BILVERKSTED01B, KONTROLLORGAN01B",944407286,6617
Nordvik AS avd. Bjerka,Strandgata 12,8643,BJERKA,SKADEVERKSTED02,946549770,18259
STIANS BILGLASS AS,HØNENGATA 65,3515,HØNEFOSS,BILGLASS,915607322,29457
DEKKMANN AS AVD SKJETTEN 5420,Jogstadveien 33,2007,KJELLER,"BILVERKSTED01, HJUL, KONTROLLORGAN01",966242825,31457
ANDENES SERVICESENTER AS,INDUSTRIVEIEN 1,8480,ANDENES,HJUL,885574092,30120
NES-BIL FURNESVEGEN AS,FURNESVEGEN 42,2318,HAMAR,"BILVERKSTED01B, KONTROLLORGAN01B",925610461,31636
NORDLI & SØNNER DEKKSERVICE AS,INDUSTRIVEIEN 14,9325,BARDUFOSS,HJUL,917761906,30401
Klokkarstua Auto AS,KIRKEBYGDVEIEN 4B,3490,KLOKKARSTUA,"BILVERKSTED01, KONTROLLORGAN01",998039231,12593
Møller Bergen AS,Sanddalsvegen 1,5221,NESTTUN,"BILVERKSTED01B, KONTROLLORGAN01B",834083922,6600
PG Autoservice AS,Rostadvegen 56,7730,BEITSTAD,BILVERKSTED01B,998213762,21519
Servicehallen Dombås AS,Gudbransdalsvegen 2569,2660,Dombås,"BILVERKSTED01, KONTROLLORGAN01",988226610,2809
BILPARTNER VEST AS,Øyane 8,6770,NORDFJORDEID,"BILVERKSTED01, KONTROLLORGAN01",991151354,10394
Autoservice Mosjøen AS,Mattismoen 5,8656,Mosjøen,SKADEVERKSTED02,913364430,8853
"Bil-Service personbiler AS, avd. bruktbil Ramdal",Ramdalveien 4,3128,NØTTERØY,BILVERKSTED01,975933601,31411
THOMAS LIENG AS Kjos Bilverksted,Brugata 6,2630,RINGEBU,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, TRAKTOR",915477232,29356
Nordic Motor AS,Leirbekkmoen,9321,Moen,"BILVERKSTED01B, TRAKTOR",937557345,9833
FONDENES AUTO AS,Møllendalsveien 20,5009,Bergen,"BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED",814322572,6576
"HURTIGRUTA CARGLASS AS, avd Arendal",Skrubbedalsveien 1,4848,ARENDAL,BILGLASS,985758220,29077
MARITIM INSTALLASJON AS,Medfjordveien 1441,9386,SENJAHOPEN,HJUL,997870506,31319
DEKK AS,Olav Ingstadsvei 9,1351,RUD,HJUL,979450583,30850
BILREPARATØREN ANDERSEN AS,Johan Sverdrups vei 1,5063,BERGEN,"BILVERKSTED01, SKADEVERKSTED01",980393763,30275
HJULIUS ARENDAL AS,SØRSVANNSVEIEN 8,4848,ARENDAL,HJUL,990732418,31935
DEKKSERVICE VOLDA AS,Morkamyra 23,6105,VOLDA,HJUL,915095909,30237
Nord-Kran AS,Industriveien 5,1481,HAGAN,PABYGGER,931777696,1666
Autoteam AS,Totlandsveien 8,5224,NESTTUN,"BILVERKSTED01, KONTROLLORGAN01",983033652,17721
MANDAL BILVERKSTED AS,Kvitmyrveien 47,4516,MANDAL,"BILVERKSTED01, KONTROLLORGAN01",920024750,30693
ROALDMOEN AS,INDUSTRIVEGEN 68,6652,SURNA,"BILVERKSTED01B, MOTORSYKKELOGMOPED, TRAKTOR",913056434,30019
Telemark Lastebil  AS,Floodmyrvegen 40,3946,PORSGRUNN,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03",934936353,4807
Gumpens Auto Mandal A/S,Sommerkroveien 1,4515,MANDAL,"BILVERKSTED01, KONTROLLORGAN01B",959543402,5793
"Vianor AS, avd. Trondheim syd",Torgårdstrøa 6,7072,HEIMDAL,"BILVERKSTED01, HJUL, KONTROLLORGAN01",935429447,18859
SUNDE AUTO AS,Oldenleirane,6788,OLDEN,"BILVERKSTED01B, KONTROLLORGAN01",945138874,7111
MC LEA AS,HOVEVEIEN 80,4306,SANDNES,HENGERESPALOPSBREMSEANLEGG,981275268,28974
Forus Bilskade AS,Boganesveien 54,4020,STAVANGER,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED, SKADEVERKSTED02",993057339,14878
CARANORD AS,HUNSTAD SØR,8031,BODØ,HENGERESPALOPSBREMSEANLEGG,965583262,30393
STENSLETTE BIL OG MASKIN AS,Linesveien 6,9310,SØRREISA,"HENGERESPALOPSBREMSEANLEGG, HJUL",926724800,28933
Møller Bilskadesenter Vestfold AS,Broen 5a,3170,Sem,SKADEVERKSTED02,946967874,4321
Tyssedal Bilservice AS,Skjeggedalsvegen 2,5770,TYSSEDAL,"BILVERKSTED01, KONTROLLORGAN01",985914656,6719
Marcos Motorsenter AS,Fjordveien 8,1532,MOSS,MOTORSYKKELOGMOPED,985700281,21700
NORD-AUTO NAMSOS AS,INDUSTRIVEGEN 8,7820,SPILLUM,"BILVERKSTED01, BILVERKSTED01B, KONTROLLORGAN01, KONTROLLORGAN01B",924014121,31438
Bjørn G. Solbakken,Russeluftveien 60,9517,ALTA,BILVERKSTED01,991678107,10992
JOHANNESSEN SERVICE AS,Petroleumsveien 19,9610,RYPEFJORD,HJULUTRUSTNING,927658623,31959
Bil-Service Personbiler AS  Tønsberg,Stoltenbergsgt. 54,3110,TØNSBERG,"BILVERKSTED01B, KONTROLLORGAN01B",975933601,4303
ÅKRA DEKKSENTER AS,BEDEHUSVEGEN 10,4270,ÅKREHAMN,HJUL,919920300,30875
Felleskjøpet Agri SA avd. Verdal,Russerveien 4,7652,VERDAL,"HENGERESPALOPSBREMSEANLEGG, TRAKTOR",911608103,18841
RIIS MONTASJE AS avd. Åsane,Liamyrene 11,5132,NYBORG,BILGLASS,921979436,29284
Motorsyklisten AS,Birkedalsveien 33,4640,SØGNE,MOTORSYKKELOGMOPED,918873775,10210
TSM BJØRN ERIKSEN,Vearveien 4,3440,RØYKEN,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03",814147932,32010
VIANOR AS avd. Tromsø,Terminalgata 90,9019,TROMSØ,HJUL,935429447,30579
KYSTVEIEN SERVICE DEKKSENTER AS,Gamle Songevei 119,4842,ARENDAL,HJUL,955906578,32157
RK VERKSTED OG BILSALG AS,Åsaringen 265,7236,HOVIN I GAULDAL,"BILVERKSTED01, KONTROLLORGAN01",991392610,11474
BILIA NORGE avd. Skøyen,Drammensveien 213,281,OSLO,"BILVERKSTED01B, KONTROLLORGAN01B",976023188,1324
"Felleskjøpet Rogaland Agder, avd Haugesund",Industrigata 4,5537,HAUGESUND,"KONTROLLORGAN05, TRAKTOR",915442552,23162
ØRSKOG BILSENTER A/S,Haukås Næringspark,6240,Ørskog,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED02",950375108,7430
Selje Auto AS,"Selje sentrum, Nabben",6740,SELJE,"BILVERKSTED01, KONTROLLORGAN01",912068684,25461
Moflaten Smie og Verksted  AS,Bataljonsveien  27,3734,SKIEN,"MOTORSYKKELOGMOPED, PABYGGER",914365074,4892
Bulder Verksted AS avd. Mosjøen,Skjervstadveien 13,8658,Mosjøen,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04, TRAKTOR",993026352,8801
AUTOMARIN AS,Askvollvegen 412,6980,ASKVOLL,"BILGLASS, BILVERKSTED01B, EKSOSANLEGG, HENGERESPALOPSBREMSEANLEGG, HJUL, KONTROLLORGAN01B, LYSUTSTYR, MOTORSYKKELOGMOPED",988684619,7080
WINTHERS AUTO SERVICE,Magnus Lagabøters veg 4,7047,TRONDHEIM,"BILVERKSTED01, KONTROLLORGAN01",871234582,8094
RUNES AUTOVERKSTED AS,Verkstedveien 25C,1424,SKI,"BILVERKSTED01B, KONTROLLORGAN01B",928305902,32177
Kvam Auto AS,Haugamyrvegen 12,5600,Norheimsund,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN01, KONTROLLORGAN02, KONTROLLORGAN03, TRAKTOR",987637366,6763
HAUGER BILVERKSTED AS,GAMLE LOMMEDALSVEI 115,1348,RYKKINN,"BILVERKSTED01, KONTROLLORGAN01",920222633,30692
Øyane Lakk og Karosseri Frode Øyane,Øravegen 33,6650,SURNADAL,SKADEVERKSTED01,994921797,20380
RIIS MONTASJE AS avd. Kalbakken,Bedriftsveien 24,950,OSLO,BILGLASS,921979436,31963
Eiksenteret avd. Hønefoss,Barbroveien 7,3511,HØNEFOSS,"KONTROLLORGAN05, MOTORSYKKELOGMOPED, TRAKTOR",936372023,20463
Åndalsnes Bilskadesenter AS,Øran Vest,6300,Åndalsnes,"SKADEVERKSTED01, SKADEVERKSTED02",985595100,7719
Wang Auto,Fensvegen 149,3830,ULEFOSS,"BILVERKSTED01, KONTROLLORGAN01",947432974,4834
SON BILSERVICE AS,SLETTAVEIEN 17,1555,SON,"BILVERKSTED01B, KONTROLLORGAN01B",982781825,28692
Vesterålen Bil AS,Vesterålsgata 41,8400,SORTLAND,"ALKOLASVERKSTED, BILVERKSTED01B, KONTROLLORGAN01B",976550285,9374
Vest Bil AS,Skare industriområde,5763,SKARE,"BILVERKSTED01, KONTROLLORGAN01",883242092,6728
BRENDEN AUTO AS,Gamlevegen 3,2322,RIDABU,HJUL,915108393,32218
UNIBUSS AS avd. Furubakken,Furuveien 8,1356,BEKKESTUA,"BILVERKSTED03, KONTROLLORGAN03",985615616,31961
K.MYREN KAROSSERIVERKSTED A/S,SKIBÅSEN 20,4636,KR.SAND,SKADEVERKSTED02,944756477,5644
HAUGAN TORALF,ORDAL,3850,KVITESEID,HJUL,969101548,30330
Seljord Landbruk og Maskin AS,Århusmoen 2,3840,SELJORD,TRAKTOR,993148881,32385
Opstad Auto AS,Skogbakken 15,4330,Ålgård,SKADEVERKSTED02,999644031,6229
QUANTUM TUNING MØRE AS,Naustveien 14,6518,KRISTIANSUND N,HJUL,920537685,31991
SULLAND TROMSØ AS,Alkevegen 5,9015,TROMSØ,"BILVERKSTED01, SKADEVERKSTED02",860152002,29294
"Toyota Bilia AS, avd Seljord",Brøløsvegen 1,3840,SELJORD,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED02",980648915,5107
HAUGESUND BILVERKSTED AS,Norevegen 7,5542,KARMSUND,"BILVERKSTED01B, KONTROLLORGAN01B, PABYGGER",913380940,28236
Nordic Last og Buss AS avd. Storslett,Bussveien 7,9151,STORSLETT,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, TRAKTOR",979463332,25160
MYHRVOLD GLASS & LEKER AS,STORGATA 34,1890,RAKKESTAD,BILGLASS,983576850,29771
Bilskade Forum DA,LOMMEDALSVEIEN 281,1350,LOMMEDALEN,SKADEVERKSTED02,986117636,976
ROSENDAL MASKIN AS,RAKKESTADVEIEN 10,1814,ASKIM,TRAKTOR,938593396,31126
VT DEKK OG BILGLASS AS,SANDVIKSVEIEN 233,1341,SLEPENDEN,BILGLASS,967659940,29598
HAUSMANNS AUTO AS,MICHELETVEIEN 54,1053,OSLO,"BILVERKSTED01, KONTROLLORGAN01",896693352,29776
Mobile Auto Vestfold AS,SEMSLINNA 19,3170,SEM,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED01",925281573,31602
Mjøsbil AS avd. Bagn,Erstadvegen 44,2930,BAGN,"BILVERKSTED01, KONTROLLORGAN01",950223243,26623
MC SENTERET MOLDE AS - BATNFJORSØRA,Fannestrandvegen 74,6416,MOLDE,"BILVERKSTED01, KONTROLLORGAN01",922163219,32231
DRAMMEN BILSKADE A/S,AABYSGT. 6,3041,DRAMMEN,"BILVERKSTED01, SKADEVERKSTED02",915602487,3721
VALDRES LANDBRUKSMASKINER AS,Bygdinvegen 151,2900,FAGERNES,TRAKTOR,936304184,31076
RIBI AUTOSENTER AS,"Amfisentret , Øravn.4",6650,Surnadal,"BILVERKSTED01, KONTROLLORGAN01",986056505,7888
DEKKTEAM AS avd Eidsvoll,Industriveien 44,2072,DAL,HJUL,913774914,29264
Norsk Scania AS avd. Gjøvik,Nedre Holmen veg 3,2827,HUNNDALEN,"ALKOLASVERKSTED, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN03",879263662,2938
Motorcenteret AS,Billingstadsletta 83,1396,Billingstad,MOTORSYKKELOGMOPED,965701079,994
HANSENS BILVEKSTED avd Mosjøen,Brugata 10,8656,MOSJØEN,"BILVERKSTED01, KONTROLLORGAN01",980799530,8847
NHS AS,Ytterveien 61,9302,ROSSFJORDSTRAUMEN,HJUL,914202868,31528
Brua Bilverksted AS,Porsgrunnsveien 188,3735,SKIEN,"BILVERKSTED01, KONTROLLORGAN01",911622750,23760
Nordic Last & Buss AS Alta,Bjørn Wirkolas vei 11,9510,ALTA,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN01B, KONTROLLORGAN02, KONTROLLORGAN03",979463332,9600
Smart Repair Tromsø AS,Ringveien 6,9018,TROMSØ,"BILVERKSTED01, KONTROLLORGAN01",913904737,18579
NÆRØYSUND MASKINSENTER AS,SØRVEIEN 19,7900,RØRVIK,TRAKTOR,992328770,31732
BILPLUSS MO I RANA AS,Verkstedveien 1,8624,Mo i Rana,"BILVERKSTED01B, KONTROLLORGAN01",983988210,8920
Brua Servicesenter  AS,Frednesøya 23,3933,PORSGRUNN,"BILVERKSTED01, KONTROLLORGAN01",966599634,4850
DEKK SJEKK AS,SAGVEIEN 5,1814,ASKIM,HJUL,984364008,31948
Nordvik AS avd. Leknes,Verksveien 12,8370,Leknes,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",946549770,9299
Volvo Truck Center Gjøvik,Lilleengveien 15,2827,HUNNDALEN,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN01, KONTROLLORGAN02, KONTROLLORGAN03",910712799,2917
Dekkmann Borgeskogen,Borgeskogen 51,3160,STOKKE,HJUL,966242825,30091
DK BILSKADESENTER VEST AS avd. Fana,KOKSTADDALEN 28,5257,KOKSTAD,SKADEVERKSTED02,993840866,30224
HALLDOR UTNE AS,Kinsarvikvegen 1,5780,KINSARVIK,HJUL,991336877,30877
AUDIO ART,Kakkelovnkroken 2,954,OSLO,BILGLASS,980626679,29645
Ødegården Auto A/S,Sam Eydes vei 1,1412,SOFIEMYR,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",979466811,725
Vega Mekaniske AS,Åsveien 25,8980,VEGA,"BILVERKSTED01, HJUL, KONTROLLORGAN01",994506609,17699
HURTIGRUTA CARGLASS AS AVD NØTTERØY,Smidsrødveien 45,3120,NØTTERØY,BILGLASS,929836413,32309
Terdal Bilservice AS,Grotlevegen 65,6727,BREMANGER,"BILVERKSTED01B, KONTROLLORGAN01B",983503268,7131
Odal Bil Kongsvinger AS,Industrivegen 57,2212,KONGSVINGER,"BILVERKSTED01B, KONTROLLORGAN01B",999254217,23201
CARGLASS AS,Østre Totenvei 136,2816,GJØVIK,BILGLASS,985758220,28851
Flisa bil AS,Negardsvegen 8,2270,Flisa,"BILVERKSTED01B, KONTROLLORGAN01B",836634152,2476
Silsand Auto AS,Laukhellaveien 21,9303,SILSAND,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",971193417,9809
TOYOTA BILIA Tønsberg,Travveien 3,3170,SEM,"BILVERKSTED01, KONTROLLORGAN01",980648915,29560
JMD BILVERKSTED AS,Barstølveien 5B,4636,KRISTIANSAND S,"BILVERKSTED01, KONTROLLORGAN01",928845885,32169
SØRLANDSDEKK AS,SKIBÅSEN 18,4636,KRISTIANSAND S,"BILGLASS, HENGERESPALOPSBREMSEANLEGG, HJUL, SKADEVERKSTED01",922066671,31613
Vågsbygd Bilverksted AS,BRÅVANNSLØKKA 1,4624,KRISTIANSAND S,"BILVERKSTED01, KONTROLLORGAN01",923544054,14140
Lias Bilopphuggeri,Verksveien 13,8370,LEKNES,BILVERKSTED01,919147857,30287
Indre Østfold Maskinsenter AS,Ramstadløkka 2,1850,MYSEN,"KONTROLLORGAN05, TRAKTOR",992833203,23620
Hesby Auto AS,Hesby,4160,FINNØY,"BILVERKSTED01B, KONTROLLORGAN01, SKADEVERKSTED01, TRAKTOR",922393583,6122
DEKK1 AS,Industrivegen 1,7072,HEIMDAL,"HENGERESPALOPSBREMSEANLEGG, HJUL",979579292,31776
Smv / Jim Bogfjellmo,Stabbforsmo,8680,Trofors,BILVERKSTED01,969985144,8807
BRÅTENS AUTOSERVICE AS,Sørkjosveien,9050,STORSTEINNES,HJUL,998340411,30319
Kongsberg Bilservice DA,Skrubbmoen 12,3619,SKOLLENBORG,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED01",994282786,14898
Vintage Wheels AS,KILGATA 12,3217,SANDEFJORD,HJUL,912855678,29931
"Thansen AS, avd. Larvik",Elveveien 8,3262,LARVIK,HJUL,923897682,31322
SVEEN BIL AURSKOG AS,Finstadhagan 9,1930,AURSKOG,"BILVERKSTED01, KONTROLLORGAN01",828183192,32149
"Bavaria Sør, Kristiansand AS",Barstølveien 32,4636,KRISTIANSAND S,"BILVERKSTED01, KONTROLLORGAN01",960804953,5642
ÅSGÅRDEN BIL OG KAROSSERI VEAR AS,Smiløkka 6A,3173,VEAR,"BILVERKSTED01, KONTROLLORGAN01",929150163,32175
IPS SERVICE AS,Berghagan 5,1405,LANGHUS,"BILVERKSTED03, KONTROLLORGAN04, PABYGGER",915407390,29990
Plassen Bil Magne Trøstheim,Engene,3550,GOL,SKADEVERKSTED02,975898768,13254
RIIS MONTASJE AS,Lerstadvegen 510,6011,ÅLESUND,BILGLASS,921979436,28234
Bertel O. Steen Østfold as,Dikeveien 1,1661,Rolvsøy,"BILVERKSTED01B, KONTROLLORGAN01B",915281168,315
Skogly Bil AS,skoglyveien 10,2443,Drevsjø,"BILVERKSTED01B, KONTROLLORGAN01B",995701197,2241
Toyota Ramstad Bil A/S avd Askim,Sagveien 1,1814,Askim,"BILVERKSTED01, KONTROLLORGAN01",987586087,267
ØYANE ASVO AS,TONGANE,5590,ETNE,BILVERKSTED01,976483782,31822
TOTAL AUTOSERVICE AS,Kåsvegen 3,7340,OPPDAL,"BILVERKSTED01, KONTROLLORGAN01",979443013,8382
HADELAND BOBIL AS,Mohagalia 8,2770,JAREN,BILVERKSTED01B,915638597,29338
Norddal Auto,Sletteland,6963,DALE I SUNNFJ.,"BILVERKSTED01, KONTROLLORGAN01",996479935,7052
Fie Bil og Båt,Fie,4950,Risør,BILVERKSTED01B,976845692,5388
Bil & Dekk Service AS,Lønboms plass 2,9900,KIRKENES,"BILVERKSTED01, KONTROLLORGAN01",983167640,20779
STOKKE MASKIN V/YNGVE STOKKE,Storlandsvegen 575,6633,GJEMNES,TRAKTOR,981093240,31726
DEKK & FELG SPESIALISTEN AS,KANALVEIEN 54,5068,BERGEN,HJUL,979630433,29887
DEKKMANN AS,Verftsgt. 7,6416,MOLDE,"BILVERKSTED01, HJUL",966242825,30095
HADELAND BILVERKSTED OG LAKKERING V/TOMASZ PAWEL SEWERA,Fjordlinna 23,2760,BRANDBU,BILVERKSTED01,998784298,28351
Auto Lisleby a.s.,Evjeveien 10,1618,Fredrikstad,"BILVERKSTED01, KONTROLLORGAN01",981936132,347
Nordic Last & Buss AS avd. Vadsø,Tanavegen 10,9800,VADSØ,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, TRAKTOR",979463332,9722
VIGANESET SERVICESENTER AS,VIGANESET 76,4130,HJELMELAND,"BILVERKSTED01B, KONTROLLORGAN01B, TRAKTOR",998327431,28218
BILHUSET SUNDE AS,GØTÅ 15,6036,MAUSEIDVÅG,"BILVERKSTED01, KONTROLLORGAN01",920157505,31672
